Date,Open,High,Low,Close,Adj Close,Volume
2019-06-19,2.730000,2.730000,2.500000,2.510000,2.510000,9200
2019-06-20,2.690000,2.690000,2.500000,2.540000,2.540000,11200
2019-06-21,2.660000,2.690000,2.640000,2.670000,2.670000,5600
2019-06-24,2.650000,2.660000,2.600000,2.600000,2.600000,7600
2019-06-25,2.550000,2.620000,2.500000,2.500000,2.500000,3400
2019-06-26,2.490000,2.640000,2.440000,2.490000,2.490000,16300
2019-06-27,2.540000,2.540000,2.440000,2.460000,2.460000,8200
2019-06-28,2.390000,2.580000,2.390000,2.450000,2.450000,8400
2019-07-01,2.450000,2.600000,2.450000,2.510000,2.510000,4100
2019-07-02,2.510000,2.570000,2.440000,2.440000,2.440000,6800
2019-07-03,2.440000,2.440000,2.350000,2.360000,2.360000,10000
2019-07-05,2.350000,2.410000,2.350000,2.370000,2.370000,3800
2019-07-08,2.650000,2.650000,2.460000,2.480000,2.480000,1900
2019-07-09,2.670000,2.670000,2.590000,2.590000,2.590000,1900
2019-07-10,2.600000,2.650000,2.520000,2.580000,2.580000,10800
2019-07-11,2.610000,2.670000,2.600000,2.600000,2.600000,1600
2019-07-12,2.680000,2.680000,2.600000,2.600000,2.600000,2800
2019-07-15,2.690000,2.690000,2.520000,2.520000,2.520000,7500
2019-07-16,2.540000,2.540000,2.530000,2.530000,2.530000,1800
2019-07-17,2.530000,2.530000,2.530000,2.530000,2.530000,200
2019-07-18,2.550000,2.600000,2.550000,2.600000,2.600000,300
2019-07-19,2.650000,2.650000,2.650000,2.650000,2.650000,500
2019-07-22,2.600000,2.670000,2.600000,2.650000,2.650000,2600
2019-07-23,2.600000,2.640000,2.600000,2.640000,2.640000,500
2019-07-24,2.660000,2.800000,2.660000,2.800000,2.800000,2500
2019-07-25,2.920000,2.920000,2.800000,2.800000,2.800000,3000
2019-07-26,2.920000,2.920000,2.570000,2.750000,2.750000,1900
2019-07-29,2.500000,2.760000,2.500000,2.670000,2.670000,13600
2019-07-30,2.870000,2.900000,2.280000,2.370000,2.370000,22400
2019-07-31,2.810000,2.870000,2.540000,2.610000,2.610000,6900
2019-08-01,2.850000,2.870000,2.340000,2.340000,2.340000,8900
2019-08-02,2.340000,2.340000,2.010000,2.330000,2.330000,14900
2019-08-05,2.330000,2.510000,2.250000,2.250000,2.250000,13800
2019-08-06,2.550000,2.550000,2.250000,2.290000,2.290000,22100
2019-08-07,2.200000,2.230000,2.200000,2.220000,2.220000,1100
2019-08-08,2.360000,2.360000,2.100000,2.110000,2.110000,3700
2019-08-09,2.050000,2.060000,1.900000,1.900000,1.900000,14600
2019-08-12,1.980000,2.090000,1.900000,1.970000,1.970000,7500
2019-08-13,1.980000,2.250000,1.700000,1.970000,1.970000,100400
2019-08-14,1.440000,1.990000,1.440000,1.860000,1.860000,12600
2019-08-15,1.980000,1.980000,1.580000,1.680000,1.680000,20800
2019-08-16,1.790000,1.940000,1.600000,1.820000,1.820000,7900
2019-08-19,1.750000,1.820000,1.610000,1.630000,1.630000,14000
