unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643112240,36422.1,36422.1,36400.0,36400.1,36401.3,0.16656692,6,2022-01-25 12:04:00,6063.052544692
1643112300,36400.1,36400.1,36333.0,36333.0,36340.9,0.32795189,11,2022-01-25 12:05:00,11915.47601937
1643112360,36332.9,36344.7,36322.5,36340.4,36335.3,0.34021659,9,2022-01-25 12:06:00,12363.606967236
1643112420,36322.2,36324.8,36289.4,36319.8,36300.8,1.43801591,15,2022-01-25 12:07:00,52228.45024801801
1643112480,36319.8,36319.8,36302.7,36306.7,36305.6,4.16894318,16,2022-01-25 12:08:00,151360.569353306
1643112540,36312.4,36312.4,36293.0,36293.0,36296.8,0.56162502,4,2022-01-25 12:09:00,20383.05685086
1643112600,36287.3,36302.9,36287.3,36291.7,36296.4,0.58143408,12,2022-01-25 12:10:00,21101.231201135997
1643112660,36290.6,36297.9,36290.0,36290.0,36290.5,0.68703882,24,2022-01-25 12:11:00,24932.638777800003
1643112720,36290.0,36330.6,36290.0,36330.6,36297.8,1.30626035,26,2022-01-25 12:12:00,47457.22227171
1643112780,36330.9,36342.3,36314.0,36318.1,36331.6,0.28131912,17,2022-01-25 12:13:00,10216.975932071999
1643112840,36318.1,36318.1,36318.1,36318.1,36318.1,0.06609643,4,2022-01-25 12:14:00,2400.496754383
1643112900,36318.0,36318.1,36318.0,36318.0,36318.0,0.03111157,7,2022-01-25 12:15:00,1129.90999926
1643112960,36318.0,36318.0,36252.0,36267.3,36276.5,1.13664427,16,2022-01-25 12:16:00,41223.018733371
1643113020,36288.3,36332.1,36288.3,36325.8,36311.6,0.16639954,6,2022-01-25 12:17:00,6044.5964101320005
1643113080,36325.8,36353.4,36299.3,36347.4,36348.2,0.17249330,11,2022-01-25 12:18:00,6269.68297242
1643113140,36358.7,36384.0,36358.7,36384.0,36374.2,0.67138591,10,2022-01-25 12:19:00,24427.70494944
1643113200,36397.6,36400.0,36388.0,36400.0,36399.2,0.42460108,8,2022-01-25 12:20:00,15455.479312000001
1643113260,36400.0,36468.0,36400.0,36450.9,36422.4,5.57669870,27,2022-01-25 12:21:00,203275.68664383
1643113320,36468.1,36484.5,36453.8,36453.8,36457.8,6.09166693,29,2022-01-25 12:22:00,222064.407932834
1643113380,36453.9,36453.9,36447.7,36447.8,36451.8,0.01533638,9,2022-01-25 12:23:00,558.977310964
1643113440,36447.8,36447.8,36400.6,36400.6,36447.3,0.40551403,9,2022-01-25 12:24:00,14760.954000418
1643113500,36400.5,36411.7,36400.5,36400.6,36401.2,0.26601558,9,2022-01-25 12:25:00,9683.126721347999
1643113560,36400.6,36462.4,36400.6,36445.2,36429.9,0.80791850,16,2022-01-25 12:26:00,29444.751316199996
1643113620,36443.0,36481.4,36443.0,36465.4,36450.8,5.34457578,19,2022-01-25 12:27:00,194892.09364801203
1643113680,36475.0,36475.0,36467.3,36472.0,36467.9,0.07565780,4,2022-01-25 12:28:00,2759.3912815999997
1643113740,36473.3,36492.1,36473.3,36481.9,36486.6,0.58271499,9,2022-01-25 12:29:00,21258.549993681
1643113800,36481.8,36509.6,36460.0,36509.6,36479.7,2.95383662,48,2022-01-25 12:30:00,107843.393461552
1643113860,36509.7,36539.5,36499.1,36507.9,36511.7,4.42342656,48,2022-01-25 12:31:00,161490.01450982402
1643113920,36505.4,36522.4,36505.4,36517.5,36510.5,0.21951752,25,2022-01-25 12:32:00,8016.2310366
1643113980,36517.6,36521.7,36460.4,36460.4,36476.8,1.03355031,16,2022-01-25 12:33:00,37683.657722724005
1643114040,36461.0,36483.9,36461.0,36472.7,36463.0,1.61691298,11,2022-01-25 12:34:00,58973.18204564599
1643114100,36472.8,36519.7,36472.8,36519.7,36486.4,1.77883443,20,2022-01-25 12:35:00,64962.499733271
1643114160,36519.7,36529.2,36519.6,36527.5,36523.4,0.15529915,11,2022-01-25 12:36:00,5672.6897016249995
1643114220,36546.1,36580.7,36519.6,36536.2,36551.9,1.10858884,16,2022-01-25 12:37:00,40503.623576007994
1643114280,36545.0,36562.5,36522.6,36525.3,36556.5,0.41228639,6,2022-01-25 12:38:00,15058.884080667001
1643114340,36534.6,36637.5,36531.3,36621.7,36604.2,2.27337973,51,2022-01-25 12:39:00,83255.03045814099
1643114400,36628.3,36727.8,36626.6,36727.8,36683.6,1.88167539,53,2022-01-25 12:40:00,69109.79738884201
1643114460,36735.2,36782.0,36661.0,36698.2,36747.1,3.29875030,64,2022-01-25 12:41:00,121058.19825946
1643114520,36691.6,36691.6,36669.9,36690.5,36676.1,2.40028540,18,2022-01-25 12:42:00,88067.6714687
1643114580,36669.9,36669.9,36648.0,36648.4,36664.7,1.41677845,17,2022-01-25 12:43:00,51922.66334698
1643114640,36651.5,36665.1,36647.7,36664.9,36655.8,3.62952606,15,2022-01-25 12:44:00,133076.210037294
1643114700,36669.7,36669.8,36669.7,36669.8,36669.7,0.04248665,8,2022-01-25 12:45:00,1557.9769581700002
1643114760,36656.9,36656.9,36600.0,36612.7,36619.0,0.21574686,14,2022-01-25 12:46:00,7899.075061122
1643114820,36600.1,36600.1,36600.1,36600.1,36600.1,0.49455228,6,2022-01-25 12:47:00,18100.662903228
1643114880,36600.1,36637.0,36600.1,36630.0,36633.6,1.73398353,12,2022-01-25 12:48:00,63515.816703899996
1643114940,36634.1,36648.1,36621.7,36621.7,36634.4,0.07366755,6,2022-01-25 12:49:00,2697.830915835
1643115000,36627.3,36627.3,36621.6,36621.6,36626.7,0.06223184,4,2022-01-25 12:50:00,2279.029551744
1643115060,36621.7,36621.7,36562.4,36569.1,36607.2,0.25074125,14,2022-01-25 12:51:00,9169.381845375001
1643115120,36569.1,36569.1,36528.1,36540.9,36563.9,0.14314751,17,2022-01-25 12:52:00,5230.738848159001
1643115180,36540.3,36555.2,36540.3,36554.4,36546.4,0.05837446,7,2022-01-25 12:53:00,2133.843360624
1643115240,36554.4,36570.8,36547.5,36562.5,36556.2,0.04944140,7,2022-01-25 12:54:00,1807.7011875
1643115300,36554.4,36563.7,36535.7,36539.2,36553.3,0.04464995,9,2022-01-25 12:55:00,1631.4734530399999
1643115360,36560.2,36564.3,36559.8,36563.0,36562.8,0.38560469,10,2022-01-25 12:56:00,14098.864280470001
1643115420,36563.0,36563.0,36562.9,36562.9,36562.9,0.00665990,2,2022-01-25 12:57:00,243.50525771
1643115480,36563.0,36563.0,36562.9,36563.0,36562.9,0.08483380,11,2022-01-25 12:58:00,3101.7782294
1643115540,36562.9,36563.0,36562.9,36563.0,36562.9,0.10107936,8,2022-01-25 12:59:00,3695.7646396799996
1643115600,36563.0,36563.0,36562.9,36563.0,36562.9,0.01803770,10,2022-01-25 13:00:00,659.5124251
1643115660,36562.9,36563.0,36562.9,36563.0,36562.9,1.28628601,7,2022-01-25 13:01:00,47030.47538363
1643115720,36563.0,36563.0,36559.9,36561.0,36560.6,0.56937303,21,2022-01-25 13:02:00,20816.847349829997
